sample.samplingPoint,longitude,latitude,area,subarea
SO-5GWQ0393,-1.04313,51.021764,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-DUMPSUSS,-0.609124,49.891943,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H
SO-G0006818,-1.389206,50.875252,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-9
SO-G0006045,-1.155133,51.198434,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0380,-1.556477,51.303906,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0387,-1.677441,51.101542,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0394,-1.614166,50.999182,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-F0006136,-0.682836,51.061279,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-5GWQ0557,1.360184,51.37137,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0405,1.204966,51.265429,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN0729,-0.802397,51.011308,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-F0002577,-0.52522,50.928641,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-5GWQ0458,0.585581,51.247587,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0468,0.071499,51.261855,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-D
SO-RSN0105,-1.3006,51.081219,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-F0002589,0.060405,50.878135,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H
SO-RSN0137,0.393669,50.83105,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-G0004059,-1.657028,51.03443,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0409,0.888449,51.214948,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN0749,-1.657053,50.996285,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0734,0.727721,51.345254,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0403,1.057665,51.113288,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-RSN0121,-1.402757,51.009218,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-G0006049,-0.929583,50.957822,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-J
SO-RSN0713,0.276604,50.872454,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-H
SO-G0006575,-1.447941,50.822839,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-E0007274,1.359689,51.342834,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-E0007275,1.355697,51.338919,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-5GWQ0733,-1.583641,51.003951,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-E0004575,1.42293,51.381965,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-38,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-38-C
SO-G0006043,-1.543243,51.12951,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
SO-5GWQ0472,-1.638434,51.204441,http://environment.data.gov.uk/registry/def/ea-organization/ea_areas/10-39,http://environment.data.gov.uk/water-quality/id/ea-subarea/10-39-K
